,Admission Date,Company Name,Ticker,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
0,02/11/1995,ACER INCORPORATED,,Technology,Technology,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
1,27/07/1938,AECI LD,,Basic Materials,Chemicals,South Africa,Africa,MAIN MARKET,Yes,-
2,18/10/2018,ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.,,Energy,Energy,Egypt,Middle East,ADMISSION TO TRADING ONLY,Yes,-
3,30/11/2010,ALUMINIUM BAHRAIN B.S.C.,,Basic Materials,Basic Resources,Bahrain,Middle East,MAIN MARKET,Yes,-
4,06/10/2017,AMER GROUP HOLDING COMPANY S.A.E,,Real Estate,Real Estate,Egypt,Middle East,ADMISSION TO TRADING ONLY,Yes,-
5,10/10/1991,ANA HOLDINGS INC.,,Consumer Discretionary,Travel and Leisure,Japan,Asia,ADMISSION TO TRADING ONLY,Yes,-
6,21/09/2016,ARABIAN FOOD INDUSTRIES COMPANY DOMTY S.A.E.,,Consumer Staples,"Food, Beverage and Tobacco",Egypt,Middle East,ADMISSION TO TRADING ONLY,Yes,-
7,06/12/1985,ASHPOL PLC,,,,United Kingdom,Europe,MAIN MARKET,No,-
8,16/09/1996,ASIA CEMENT CORPORATION,,Industrials,Construction and Materials,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
9,06/05/2010,AVANGARDCO INVESTMENTS PUBLIC LIMITED,,Consumer Staples,"Food, Beverage and Tobacco",Cyprus,Europe,MAIN MARKET,Yes,-
10,22/03/2005,AXIS BANK LIMITED,,Financials,Banks,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
11,06/11/1996,BANK AUDI S.A.L.,,Financials,Banks,Lebanon,Middle East,MAIN MARKET,Yes,-
12,05/10/2005,BANKMUSCAT (S.A.O.G.),,Financials,Banks,Oman,Middle East,MAIN MARKET,Yes,-
13,03/11/2000,BANK PEKAO SA,,Financials,Banks,Poland,Europe,MAIN MARKET,Yes,-
14,13/04/1995,BBVA CAPITAL FUNDING LD,,,,Cayman Islands,North America,MAIN MARKET,Yes,-
15,21/10/2005,BEXIMCO PHARMACEUTICALS LIMITED,,Health Care,Health Care,Bangladesh,Asia,AIM,Yes,-
16,11/05/2006,BLOM BANK SAL,,Financials,Banks,Lebanon,Middle East,ADMISSION TO TRADING ONLY,Yes,-
17,28/07/1997,BRISTOL & WEST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,-
18,19/02/2009,BYBLOS BANK S.A.L,,Financials,Banks,Lebanon,Middle East,MAIN MARKET,Yes,-
19,21/02/2018,CABLEVISION HOLDING S.A.,,Telecommunications,Telecommunications,Argentina,Latin America,MAIN MARKET,Yes,-
20,27/09/2004,CATHAY FINANCIAL HOLDING CO LTD,,Financials,Insurance,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
21,11/07/1996,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,,Industrials,Industrial Goods and Services,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
22,18/10/2000,CHINA PETROLEUM & CHEMICAL CORPORATION,,Energy,Energy,China,Asia,MAIN MARKET,Yes,-
23,23/03/2005,CHINA STEEL CORPORATION,,Basic Materials,Basic Resources,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
24,31/07/1996,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,,Financials,Banks,Egypt,Middle East,MAIN MARKET,Yes,-
25,21/12/2009,COMPAL ELECTRONICS INC,,Technology,Technology,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
26,11/12/2007,DIAMOND BANK PLC,,Financials,Banks,Nigeria,Africa,PROFESSIONAL SECURITIES MARKET,Yes,-
27,13/04/2018,DISH TV INDIA LIMITED,,Consumer Discretionary,Media,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
28,02/04/2015,EDITA FOOD INDUSTRIES S.A.E.,,Consumer Staples,"Food, Beverage and Tobacco",Egypt,Middle East,MAIN MARKET,Yes,-
29,04/08/1998,EFG-HERMES HOLDING S.A.E.,,Financials,Financial Services,Egypt,Middle East,MAIN MARKET,Yes,-
30,08/11/2017,EN+ GROUP INTERNATIONAL PUBLIC JOINT-STOCK COMPANY,,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,-
31,20/04/2011,ETALON GROUP PLC,,Real Estate,Real Estate,Cyprus,Europe,MAIN MARKET,Yes,-
32,30/06/1999,EZZ STEEL COMPANY - S.A.E.,,Basic Materials,Basic Resources,Egypt,Middle East,MAIN MARKET,Yes,-
33,11/10/2004,FAR EASTERN NEW CENTURY CORPORATION,,Basic Materials,Basic Resources,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
34,13/11/2008,FAR EASTONE TELECOMMUNICATIONS CO LTD,,Telecommunications,Telecommunications,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
35,31/01/2006,FEDERAL BANK LIMITED (THE),,Financials,Banks,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
36,28/03/2011,"FEDERAL GRID COMPANY OF UNIFIED ENERGY SYSTEM, PUBLIC JOINT-STOCK COMPANY",,Utilities,Utilities,Russian Federation,Europe,MAIN MARKET,Yes,-
37,12/08/1999,FISHGUARD & ROSSLARE RAILWAYS & HARBOURS COMPANY,,,,United Kingdom,Europe,MAIN MARKET,No,-
38,29/04/2015,FONDUL PROPRIETATEA S.A.,,Financials,Financial Services,Romania,Europe,MAIN MARKET,Yes,-
39,15/11/1999,GAIL (INDIA) LD,,Energy,Energy,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
40,29/06/2011,GLOBAL PORTS INVESTMENTS PLC,,Industrials,Industrial Goods and Services,Cyprus,Europe,MAIN MARKET,Yes,-
41,08/05/2008,GLOBALTRANS INVESTMENT PLC,,Industrials,Industrial Goods and Services,Cyprus,Europe,MAIN MARKET,Yes,-
42,28/05/2010,GREAT EASTERN ENERGY CORPORATION LIMITED,,Energy,Energy,India,Asia,MAIN MARKET,Yes,-
43,06/08/2009,GREEN ENERGY TECHNOLOGY INC.,,Energy,Energy,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
44,25/10/2007,GRUPO CLARIN S.A.,,Consumer Discretionary,Media,Argentina,Latin America,MAIN MARKET,Yes,-
45,26/07/2007,GUARANTY TRUST BANK PLC,,Financials,Banks,Nigeria,Africa,MAIN MARKET,Yes,-
46,10/11/2006,HANATOUR SERVICE INC.,,Consumer Discretionary,Travel and Leisure,South Korea,Asia,MAIN MARKET,Yes,-
47,30/06/1998,HELLENIC PETROLEUM SA,,Energy,Energy,Greece,Europe,MAIN MARKET,Yes,-
48,24/06/1997,HELLENIC TELECOMMUNICATIONS ORGANIZATION S.A.,,Telecommunications,Telecommunications,Greece,Europe,MAIN MARKET,Yes,-
49,16/04/1948,HIDONG ESTATE PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,MAIN MARKET,No,-
50,14/02/2011,HMS HYDRAULIC MACHINES & SYSTEMS GROUP PLC,,Industrials,Industrial Goods and Services,Cyprus,Europe,MAIN MARKET,Yes,-
51,08/10/1999,HON HAI PRECISION INDUSTRY CO. LTD,,Technology,Technology,Taiwan,Asia,MAIN MARKET,Yes,-
52,17/06/2019,"HUATAI SECURITIES CO., LTD.",,Financials,Financial Services,China,Asia,MAIN MARKET,Yes,-
53,27/04/1950,HWANGE COLLIERY COMPANY LIMITED,,Energy,Energy,Zimbabwe,Africa,MAIN MARKET,Yes,-
54,22/06/1995,HYUNDAI MOTOR COMPANY,,Consumer Discretionary,Automobiles and Parts,South Korea,Asia,MAIN MARKET / ADMISSION TO TRADING ONLY,Yes,-
55,16/04/1996,INVESTEC INVESTMENT TRUST PLC,,,,United Kingdom,Europe,MAIN MARKET,No,-
56,13/11/2018,JOINT STOCK COMPANY NATIONAL ATOMIC COMPANY KAZATOMPROM,,Basic Materials,Basic Resources,Kazakhstan,Asia,MAIN MARKET,Yes,-
57,20/12/2006,JSC HALYK BANK,,Financials,Banks,Kazakhstan,Asia,MAIN MARKET,Yes,-
58,17/05/2007,JSC VTB BANK,,Financials,Banks,Russian Federation,Europe,MAIN MARKET,Yes,-
59,17/12/2012,KCELL JOINT STOCK COMPANY,,Telecommunications,Telecommunications,Kazakhstan,Asia,MAIN MARKET,Yes,-
60,27/09/2004,LARSEN AND TOUBRO LIMITED,,Industrials,Construction and Materials,India,Asia,ADMISSION TO TRADING ONLY,Yes,-
61,05/03/2014,LENTA PLC,,Consumer Staples,"Personal Care, Drug and Grocery Stores",British Virgin Islands,North America,MAIN MARKET,Yes,-
62,05/09/2002,LG ELECTRONICS INC,,Consumer Discretionary,Consumer Products and Services,South Korea,Asia,MAIN MARKET,Yes,-
63,27/09/1996,LITE-ON TECHNOLOGY CORPORATION,,Technology,Technology,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
64,14/05/2008,LUCKY CEMENT LIMITED,,Industrials,Construction and Materials,Pakistan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
65,22/12/2017,MADINET NASR FOR HOUSING & DEVELOPMENT S.A.E.,,Real Estate,Real Estate,Egypt,Middle East,ADMISSION TO TRADING ONLY,Yes,-
66,27/09/2004,MAGYAR TELEKOM TELECOMMUNICATIONS PLC,,Telecommunications,Telecommunications,Hungary,Europe,ADMISSION TO TRADING ONLY,Yes,-
67,27/09/2004,MAHINDRA & MAHINDRA LIMITED,,Consumer Discretionary,Automobiles and Parts,India,Asia,ADMISSION TO TRADING ONLY,Yes,-
68,11/11/2010,MAIL.RU GROUP LIMITED,,Technology,Technology,British Virgin Islands,North America,MAIN MARKET,Yes,-
69,02/06/1995,MANDO MACHINERY CORPORATION,,Consumer Discretionary,Automobiles and Parts,South Korea,Asia,MAIN MARKET,Yes,-
70,17/10/2012,MD MEDICAL GROUP INVESTMENTS PLC,,Health Care,Health Care,Cyprus,Europe,MAIN MARKET,Yes,-
71,17/07/1989,MEDIA AND INCOME TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,-
72,24/11/1943,MEIKLES LIMITED,,Consumer Staples,"Personal Care, Drug and Grocery Stores",Zimbabwe,Africa,MAIN MARKET,Yes,-
73,15/05/2008,MHP SE,,Consumer Staples,"Food, Beverage and Tobacco",Luxembourg,Europe,MAIN MARKET,Yes,-
74,23/08/2007,NASPERS LIMITED,,Technology,Technology,South Africa,Africa,MAIN MARKET,Yes,-
75,17/04/1997,NMBZ HOLDINGS LD,,Financials,Banks,Zimbabwe,Africa,MAIN MARKET,Yes,-
76,14/11/2018,"NOVA LJUBLJANSKA BANKA D.D., LJUBLJANA",,Financials,Banks,Slovenia,Europe,MAIN MARKET,Yes,-
77,15/12/2005,NOVOLIPETSK STEEL,,Basic Materials,Basic Resources,Russian Federation,Europe,MAIN MARKET,Yes,-
78,06/12/2006,OIL AND GAS DEVELOPMENT COMPANY LIMITED,,Energy,Energy,Pakistan,Asia,MAIN MARKET,Yes,-
79,27/09/2004,OJSC ROSTELECOM,,Telecommunications,Telecommunications,Russian Federation,Europe,ADMISSION TO TRADING ONLY,Yes,-
80,05/11/2010,O'KEY GROUP S.A.,,Consumer Staples,"Personal Care, Drug and Grocery Stores",Luxembourg,Europe,MAIN MARKET,Yes,-
81,20/10/2016,OMV PETROM S.A.,,Energy,Energy,Romania,Europe,MAIN MARKET,Yes,-
82,13/03/2012,ORASCOM INVESTMENT HOLDING S.A.E,,Telecommunications,Telecommunications,Egypt,Middle East,MAIN MARKET,Yes,-
83,03/11/2005,ORCHID PHARMA LIMITED,,Health Care,Health Care,India,Asia,ADMISSION TO TRADING ONLY,Yes,-
84,27/09/2004,OTP BANK PLC,,Financials,Banks,Hungary,Europe,ADMISSION TO TRADING ONLY,Yes,-
85,09/10/1997,PAINTS & CHEMICAL INDUSTRIES COMPANY S.A.E.,,Industrials,Industrial Goods and Services,Egypt,Middle East,MAIN MARKET,Yes,-
86,08/05/2008,PALM HILLS DEVELOPMENTS S.A.E,,Real Estate,Real Estate,Egypt,Middle East,MAIN MARKET,Yes,-
87,27/07/2005,PAO NOVATEK,,Energy,Energy,Russian Federation,Europe,MAIN MARKET,Yes,-
88,03/11/2006,PAO TMK,,Basic Materials,Basic Resources,Russian Federation,Europe,MAIN MARKET,Yes,-
89,12/08/2008,PJSC ACRON,,Basic Materials,Chemicals,Russian Federation,Europe,MAIN MARKET,Yes,-
90,12/11/2010,PJSC CENTER FOR CARGO CONTAINER TRAFFIC TRANSCONTAINER,,Industrials,Industrial Goods and Services,Russian Federation,Europe,MAIN MARKET,Yes,-
91,28/10/1996,PJSC GAZPROM,,Energy,Energy,Russian Federation,Europe,MAIN MARKET,Yes,-
92,16/11/2007,PJSC LSR GROUP,,Real Estate,Real Estate,Russian Federation,Europe,MAIN MARKET,Yes,-
93,22/04/2008,PJSC MAGNIT,,Consumer Staples,"Personal Care, Drug and Grocery Stores",Russian Federation,Europe,MAIN MARKET,Yes,-
94,30/04/2007,PJSC MAGNITOGORSK IRON & STEEL WORKS,,Basic Materials,Basic Resources,Russian Federation,Europe,MAIN MARKET,Yes,-
95,27/09/2004,PJSC MMC NORILSK NICKEL,,Basic Materials,Basic Resources,Russian Federation,Europe,ADMISSION TO TRADING ONLY,Yes,-
96,13/07/2011,PJSC PHOSAGRO,,Basic Materials,Chemicals,Russian Federation,Europe,MAIN MARKET,Yes,-
97,06/07/2009,PJSC RUSHYDRO,,Utilities,Utilities,Russian Federation,Europe,MAIN MARKET,Yes,-
98,13/12/1996,PJSC TATNEFT,,Energy,Energy,Russian Federation,Europe,MAIN MARKET,Yes,-
99,14/11/2006,POWERCHIP TECHNOLOGY CORPORATION,,Technology,Technology,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
100,20/07/1998,PRESS CORPORATION PLC,,Industrials,Industrial Goods and Services,Malawi,Africa,PROFESSIONAL SECURITIES MARKET,Yes,-
101,13/07/2006,PROMOS TECHNOLOGIES INC,,Technology,Technology,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
102,12/06/2006,PUBLIC JOINT STOCK COMPANY GAZPROM NEFT,,Energy,Energy,Russian Federation,Europe,ADMISSION TO TRADING ONLY,Yes,-
103,08/11/2007,PUBLIC JOINT STOCK COMPANY NOVOROSSIYSK COMMERCIAL SEA PORT,,Industrials,Industrial Goods and Services,Russian Federation,Europe,MAIN MARKET,Yes,-
104,05/07/2017,PUBLIC JOINT STOCK COMPANY POLYUS,,Basic Materials,Basic Resources,Russian Federation,Europe,MAIN MARKET,Yes,-
105,08/12/2011,PUBLIC JOINT STOCK COMPANY ROSSETI,,Utilities,Utilities,Russian Federation,Europe,MAIN MARKET,Yes,-
106,25/02/2004,PUBLIC JOINT STOCK COMPANY SEVERSTAL,,Basic Materials,Basic Resources,Russian Federation,Europe,MAIN MARKET,Yes,-
107,18/11/2005,REI AGRO LTD,,Consumer Staples,"Food, Beverage and Tobacco",India,Asia,MAIN MARKET,Yes,-
108,27/09/2004,RELIANCE INDUSTRIES LIMITED,,Energy,Energy,India,Asia,ADMISSION TO TRADING ONLY,Yes,-
109,08/03/1996,RELIANCE INFRASTRUCTURE LD,,Utilities,Utilities,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
110,09/07/1984,REPUBLIC GOLDFIELDS INCORPORATED,,Basic Materials,Basic Resources,Canada,North America,MAIN MARKET,Yes,-
111,13/04/2011,ROS AGRO PLC,,Consumer Staples,"Food, Beverage and Tobacco",Cyprus,Europe,MAIN MARKET,Yes,-
112,19/07/2006,ROSNEFT OIL COMPANY,,Energy,Energy,Russian Federation,Europe,MAIN MARKET,Yes,-
113,28/06/1995,SAMSUNG ELECTRONICS CO LTD (ATT),,Technology,Technology,South Korea,Asia,MAIN MARKET / ADMISSION TO TRADING ONLY,Yes,-
114,01/07/2011,SBERBANK OF RUSSIA,,Financials,Banks,Russian Federation,Europe,MAIN MARKET,Yes,-
115,08/01/2018,SDV 2025 ZDP PLC,,,,United Kingdom,Europe,MAIN MARKET,No,-
116,14/02/2005,SISTEMA PJSFC,,Financials,Financial Services,Russian Federation,Europe,MAIN MARKET,Yes,-
117,03/04/1995,SK TELECOM CO LD,,Telecommunications,Telecommunications,South Korea,Asia,MAIN MARKET,Yes,-
118,04/07/2014,SOCIETATEA ENERGETICA ELECTRICA SA,,Utilities,Utilities,Romania,Europe,MAIN MARKET,Yes,-
119,12/11/2013,"SOCIETATEA NATIONALA DE GAZE NATURALE ""ROMGAZ"" S.A.",,Energy,Energy,Romania,Europe,MAIN MARKET,Yes,-
120,11/10/1996,STATE BANK OF INDIA,,Financials,Banks,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
121,15/03/1996,STEEL AUTHORITY OF INDIA LD,,Basic Materials,Basic Resources,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
122,09/03/2007,SUBEX LIMITED,,Technology,Technology,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
123,16/03/2001,SUNPLUS TECHNOLOGY CO LD,,Technology,Technology,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
124,27/09/2004,SURGUTNEFTEGAS PUBLIC JOINT STOCK COMPANY,,Energy,Energy,Russian Federation,Europe,ADMISSION TO TRADING ONLY,Yes,-
125,05/06/2000,TATA GLOBAL BEVERAGES LD,,Consumer Staples,"Food, Beverage and Tobacco",India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
126,28/07/2009,TATA POWER COMPANY LIMITED,,Utilities,Utilities,India,Asia,ADMISSION TO TRADING ONLY,Yes,-
127,27/07/2009,TATA STEEL LIMITED,,Basic Materials,Basic Resources,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
128,05/10/2009,TATUNG CO. LTD,,Technology,Technology,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
129,25/10/2013,TCS GROUP HOLDING PLC,,Financials,Banks,Cyprus,Europe,MAIN MARKET,Yes,-
130,14/12/2005,TELECOM EGYPT S.A.E.,,Telecommunications,Telecommunications,Egypt,Middle East,MAIN MARKET,Yes,-
131,03/07/2008,THE COMMERCIAL BANK OF QATAR (Q.S.C.),,Financials,Banks,Qatar,Middle East,MAIN MARKET,Yes,-
132,14/05/1998,TURKIYE IS BANKASI A.S.,,Financials,Banks,Turkey,Europe,MAIN MARKET,Yes,-
133,29/06/2007,UNITED BANK LIMITED,,Financials,Banks,Pakistan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
134,25/04/2019,VALEURA ENERGY INC,,Energy,Energy,Canada,North America,MAIN MARKET,Yes,-
135,10/11/2010,WALSIN LIHWA CORPORATION,,Industrials,Industrial Goods and Services,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
136,13/11/2013,"WISDOM MARINE LINES CO., LIMITED",,Industrials,Industrial Goods and Services,Cayman Islands,North America,MAIN MARKET,Yes,-
137,11/05/2005,X5 RETAIL GROUP N.V,,Consumer Staples,"Personal Care, Drug and Grocery Stores",Netherlands,Europe,MAIN MARKET,Yes,-
138,21/03/2013,ZENITH BANK PLC,,Financials,Banks,Nigeria,Africa,MAIN MARKET,Yes,-
139,05/05/2000,ZHEJIANG EXPRESSWAY CO,,Industrials,Industrial Goods and Services,China,Asia,MAIN MARKET,Yes,-
140,29/09/1999,TOYOTA MOTOR CORPORATION,,Consumer Discretionary,Automobiles and Parts,Japan,Asia,MAIN MARKET,Yes,"165,686.48"
141,14/05/1990,JARDINE MATHESON HOLDINGS LD,,Industrials,Industrial Goods and Services,Bermuda,North America,MAIN MARKET,Yes,"115,576.89"
142,20/07/2005,ROYAL DUTCH SHELL PLC,,Energy,Energy,United Kingdom,Europe,MAIN MARKET,No,"108,777.07"
143,01/06/1993,ASTRAZENECA PLC,,Health Care,Health Care,United Kingdom,Europe,MAIN MARKET,No,"94,688.81"
144,08/04/1991,HSBC HOLDINGS PLC,,Financials,Banks,United Kingdom,Europe,MAIN MARKET,No,"92,357.95"
145,22/05/1987,HONEYWELL INTERNATIONAL INCORPORATED,,Industrials,Industrial Goods and Services,United States,North America,MAIN MARKET,Yes,"91,417.60"
146,19/07/1973,INTERNATIONAL BUSINESS MACHINES CORPORATION,,Technology,Technology,United States,North America,MAIN MARKET,Yes,"82,037.76"
147,26/09/1973,TOTAL S.A.,,Energy,Energy,France,Europe,MAIN MARKET,Yes,"80,220.67"
148,22/05/1972,GLAXOSMITHKLINE PLC,,Health Care,Health Care,United Kingdom,Europe,MAIN MARKET,No,"75,987.77"
149,14/01/1980,BOEING CO.,,Industrials,Industrial Goods and Services,United States,North America,MAIN MARKET,Yes,"71,568.59"
150,29/03/1954,BP PLC,,Energy,Energy,United Kingdom,Europe,MAIN MARKET,No,"69,740.43"
151,29/01/1962,BRITISH AMERICAN TOBACCO PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,MAIN MARKET,No,"63,296.54"
152,01/04/1952,DIAGEO PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,MAIN MARKET,No,"60,447.35"
153,01/10/1952,GENERAL ELECTRIC COMPANY,,Industrials,Industrial Goods and Services,United States,North America,MAIN MARKET,Yes,"56,567.06"
154,20/06/1991,JARDINE STRATEGIC HOLDINGS LD,,Industrials,Industrial Goods and Services,Bermuda,North America,MAIN MARKET,Yes,"55,750.52"
155,11/08/1939,UNILEVER PLC,,Consumer Staples,"Personal Care, Drug and Grocery Stores",United Kingdom,Europe,MAIN MARKET,No,"47,612.19"
156,01/11/1973,RIO TINTO PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,"46,357.66"
157,23/10/2007,RECKITT BENCKISER GROUP PLC,,Consumer Staples,"Personal Care, Drug and Grocery Stores",United Kingdom,Europe,MAIN MARKET,No,"43,657.63"
158,01/10/1990,HONG KONG LAND HOLDINGS LD,,Real Estate,Real Estate,Bermuda,North America,MAIN MARKET,Yes,"41,842.99"
159,21/04/1948,RELX PLC,,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET,No,"33,466.26"
160,31/01/2002,NATIONAL GRID PLC,,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET,No,"33,209.39"
161,06/06/1980,MARSH & MCLENNAN COS. INC,,Financials,Insurance,United States,North America,MAIN MARKET,Yes,"32,917.24"
162,01/07/2005,BANCO SANTANDER S.A.,,Financials,Banks,Spain,Europe,MAIN MARKET,Yes,"32,639.64"
163,26/10/1988,VODAFONE GROUP PLC,,Telecommunications,Telecommunications,United Kingdom,Europe,MAIN MARKET,No,"30,252.29"
164,29/12/1978,PRUDENTIAL PLC,,Financials,Insurance,United Kingdom,Europe,MAIN MARKET,No,"26,937.34"
165,28/07/1997,BHP GROUP PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,"26,443.14"
166,07/05/1997,PJSC LUKOIL,,Energy,Energy,Russian Federation,Europe,MAIN MARKET,Yes,"26,326.91"
167,20/07/2001,LONDON STOCK EXCHANGE GROUP PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,"25,461.27"
168,08/10/1986,LLOYDS BANKING GROUP PLC,,Financials,Banks,United Kingdom,Europe,MAIN MARKET,No,"22,536.61"
169,23/12/1947,TESCO PLC,,Consumer Staples,"Personal Care, Drug and Grocery Stores",United Kingdom,Europe,MAIN MARKET,No,"22,407.52"
170,11/10/2006,EXPERIAN PLC,,Industrials,Industrial Goods and Services,Jersey,Europe,MAIN MARKET,No,"20,445.60"
171,02/02/2001,COMPASS GROUP PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET,No,"20,073.69"
172,14/05/1990,DAIRY FARM INTERNATIONAL HOLDINGS LD,,Consumer Staples,"Personal Care, Drug and Grocery Stores",Bermuda,North America,MAIN MARKET,Yes,"20,007.72"
173,24/05/1999,ANGLO AMERICAN PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,"19,312.09"
174,02/02/1973,CRH PLC,,Industrials,Construction and Materials,Ireland,Europe,MAIN MARKET,Yes,"17,250.13"
175,03/10/1988,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,,Financials,Banks,Spain,Europe,MAIN MARKET,Yes,"17,164.59"
176,11/02/1981,BAE SYSTEMS PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,"16,731.14"
177,24/05/2011,GLENCORE PLC,,Basic Materials,Basic Resources,Jersey,Europe,MAIN MARKET,No,"16,495.50"
178,19/04/1990,KERRY GROUP PLC,,Consumer Staples,"Food, Beverage and Tobacco",Ireland,Europe,MAIN MARKET,Yes,"16,356.52"
179,01/11/1953,BARCLAYS PLC,,Financials,Banks,United Kingdom,Europe,MAIN MARKET,No,"16,308.45"
180,01/08/1994,ASSOCIATED BRITISH FOODS PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,MAIN MARKET,No,"14,360.97"
181,01/10/1996,IMPERIAL BRANDS PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,MAIN MARKET,No,"14,165.84"
182,02/02/1970,STANDARD CHARTERED PLC,,Financials,Banks,United Kingdom,Europe,MAIN MARKET,No,"14,087.99"
183,28/03/2019,COCA-COLA EUROPEAN PARTNERS PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,MAIN MARKET,No,"14,075.05"
184,10/07/1968,ROYAL BANK OF SCOTLAND GROUP PLC,,Financials,Banks,United Kingdom,Europe,MAIN MARKET,No,"13,654.02"
185,05/09/1989,MITSUBISHI ELECTRIC CORPORATION,,Industrials,Industrial Goods and Services,Japan,Asia,MAIN MARKET,Yes,"13,634.67"
186,18/06/1991,SSE PLC,,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET,No,"13,563.52"
187,13/08/1951,SMITH & NEPHEW PLC,,Health Care,Health Care,United Kingdom,Europe,MAIN MARKET,No,"12,546.37"
188,03/12/1984,BT GROUP PLC,,Telecommunications,Telecommunications,United Kingdom,Europe,MAIN MARKET,No,"11,651.12"
189,02/07/1979,LEGAL & GENERAL GROUP PLC,,Financials,Insurance,United Kingdom,Europe,MAIN MARKET,No,"11,564.19"
190,23/11/2010,FERGUSON PLC,,Industrials,Industrial Goods and Services,Jersey,Europe,MAIN MARKET,No,"11,361.67"
191,04/06/1990,AVIVA PLC,,Financials,Insurance,United Kingdom,Europe,MAIN MARKET,No,"10,767.92"
192,02/07/1987,COMPAGNIE DE SAINT-GOBAIN,,Industrials,Construction and Materials,France,Europe,MAIN MARKET,Yes,"10,646.14"
193,16/07/1998,RYANAIR HOLDINGS PLC,,Consumer Discretionary,Travel and Leisure,Ireland,Europe,MAIN MARKET,Yes,"8,888.43"
194,03/02/2020,JUST EAT TAKEAWAY.COM N.V.,,Technology,Technology,Netherlands,Europe,MAIN MARKET,Yes,"8,711.66"
195,26/07/2010,OCADO GROUP PLC,,Consumer Staples,"Personal Care, Drug and Grocery Stores",United Kingdom,Europe,MAIN MARKET,No,"8,684.19"
196,01/12/1949,SEGRO PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,"8,378.37"
197,27/06/1986,SCOTTISH MORTGAGE INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,"8,334.44"
198,08/10/1990,ASHTEAD GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,"7,932.57"
199,08/06/1995,KINGSPAN GROUP PLC,,Industrials,Construction and Materials,Ireland,Europe,MAIN MARKET,Yes,"7,805.15"
