,Admission Date,Company Name,Ticker,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
1232,24/02/2005,KINGSWOOD HOLDINGS LIMITED,,Financials,Financial Services,United Kingdom,Europe,AIM,No,46.85
1233,18/09/1947,LOW & BONAR PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,46.83
1234,05/12/2005,AMIAD WATER SYSTEMS LTD,,Utilities,Utilities,Israel,Middle East,AIM,Yes,46.53
1235,16/10/2013,KROMEK GROUP PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,46.08
1236,08/12/2008,SDI GROUP PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,46.07
1237,27/06/2018,CAKE BOX HOLDINGS PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM,No,46
1238,24/07/1997,TED BAKER PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET,No,45.83
1239,14/05/2010,ILIKA PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,45.72
1240,02/11/2005,SRT MARINE SYSTEMS PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,45.68
1241,30/05/2008,OPG POWER VENTURES PLC,,Utilities,Utilities,Isle of Man,Europe,AIM,No,45.58
1242,01/08/1996,CITY OF LONDON GROUP PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,45.56
1243,15/02/2006,ADEPT TECHNOLOGY GROUP PLC,,Telecommunications,Telecommunications,United Kingdom,Europe,AIM,No,45.55
1244,19/07/2017,GABELLI MERGER PLUS+ TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,45.42
1245,08/05/2018,RBG HOLDINGS PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,45.36
1246,16/02/2016,CIRCLE PROPERTY PLC,,Real Estate,Real Estate,Jersey,Europe,AIM,No,45.13
1247,30/12/2005,CHARACTER GROUP PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM,No,44.9
1248,26/06/2017,TOUCHSTONE EXPLORATION INC,,Energy,Energy,Canada,North America,AIM,Yes,44.88
1249,24/05/2004,WYNNSTAY GROUP PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,AIM,No,44.77
1250,06/11/2008,LAMPRELL PLC,,Energy,Energy,Isle of Man,Europe,MAIN MARKET,No,44.6
1251,30/08/2006,CONNECT GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,44.33
1252,25/03/1973,NMCN PLC,,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET,No,43.66
1253,26/09/2019,"VAALCO ENERGY, INC.",,Energy,Energy,United States,North America,MAIN MARKET,Yes,43.48
1254,18/12/2006,HANSARD GLOBAL PLC,,Financials,Insurance,Isle of Man,Europe,MAIN MARKET,No,42.92
1255,21/09/2018,EPE SPECIAL OPPORTUNITIES LIMITED,,Financials,Financial Services,Bermuda,North America,AIM,Yes,42.73
1256,18/02/2008,TRIPLE POINT INCOME VCT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,42.51
1257,25/04/2017,EDDIE STOBART LOGISTICS PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,42.39
1258,22/03/2006,ELECOSOFT PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,42.35
1259,11/07/2000,MOBEUS INCOME & GROWTH 2 VCT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,42.33
1260,04/10/2013,DP AIRCRAFT I LIMITED,,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET,No,42.21
1261,10/11/1972,BROWN (N) GROUP PLC,,Consumer Discretionary,Retail,United Kingdom,Europe,MAIN MARKET,No,41.92
1262,07/11/1996,HAYNES PUBLISHING GROUP PLC,,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET,No,41.79
1263,23/05/2014,SHOE ZONE PLC,,Consumer Discretionary,Retail,United Kingdom,Europe,AIM,No,41.74
1264,30/07/2010,NETCALL PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,41.66
1265,15/05/2008,SHARE PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,41.66
1266,27/02/2014,DX (GROUP) PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,41.59
1267,30/04/2015,MITON UK MICROCAP TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,41.5
1268,14/05/2001,ZOO DIGITAL GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,41.37
1269,27/11/2017,BEEKS FINANCIAL CLOUD GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,41.36
1270,23/12/2004,JARVIS SECURITIES PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,41.2
1271,21/05/2013,QUIXANT PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,41.19
1272,04/07/2001,TP GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,40.91
1273,23/11/2017,CITY PUB GROUP PLC (THE),,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM,No,40.63
1274,22/12/2005,INDIA CAPITAL GROWTH FUND LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,40.5
1275,05/08/2014,EQUALS GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,40.19
1276,18/12/2013,PROPERTY FRANCHISE GROUP PLC (THE),,Real Estate,Real Estate,United Kingdom,Europe,AIM,No,40.03
1277,12/05/2015,BIGBLU BROADBAND PLC,,Telecommunications,Telecommunications,United Kingdom,Europe,AIM,No,39.74
1278,05/08/2014,OPTIBIOTIX HEALTH PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,39.73
1279,18/07/1996,CML MICROSYSTEMS PLC,,Technology,Technology,United Kingdom,Europe,MAIN MARKET,No,39.63
1280,12/12/2001,MAVEN INCOME AND GROWTH VCT 3 PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,39.39
1281,22/11/2017,TEN LIFESTYLE GROUP PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM,No,39.36
1282,19/02/2007,GEM DIAMONDS LIMITED,,Basic Materials,Basic Resources,British Virgin Islands,North America,MAIN MARKET,Yes,39.2
1283,06/04/2000,MAVEN INCOME & GROWTH VCT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,39.06
1284,23/09/2015,SQN SECURED INCOME FUND PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,39.01
1285,30/06/2010,MACAU PROPERTY OPPORTUNITIES FUND LIMITED,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,38.96
1286,06/06/2017,ALTERNATIVE INCOME REIT PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,38.88
1287,19/06/2008,HIGHBRIDGE TACTICAL CREDIT FUND LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,38.8
1288,09/08/2013,SCIENCE IN SPORT PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,AIM,No,38.69
1289,30/03/2007,ASSETCO PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,38.47
1290,08/08/2006,AVACTA GROUP PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,38.29
1291,03/01/1979,COSTAIN GROUP PLC,,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET,No,38.01
1292,17/06/2004,PORTMEIRION GROUP PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM,No,37.78
1293,28/06/2005,ACCESS INTELLIGENCE PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,37.75
1294,04/12/2000,MAVEN INCOME AND GROWTH VCT 5 PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,37.68
1295,24/12/2015,DIURNAL GROUP PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,37.09
1296,12/05/2017,GLOBAL PORTS HOLDING PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,37.07
1297,14/08/2006,BEST OF THE BEST PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM,No,37.04
1298,08/09/1949,TCLARKE PLC,,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET,No,37.01
1299,29/02/2000,BLACKBIRD PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,36.88
1300,02/12/2013,BLUEJAY MINING PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,AIM,No,36.86
1301,28/03/2001,K3 BUSINESS TECHNOLOGY GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,36.72
1302,24/12/2009,FULCRUM UTILITY SERVICES LD,,Utilities,Utilities,Cayman Islands,North America,AIM,Yes,36.65
1303,17/03/2006,VENTUS 2 VCT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,36.33
1304,02/09/1998,PCF GROUP PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,36.28
1305,02/12/2004,CHINA NONFERROUS GOLD LIMITED,,Basic Materials,Basic Resources,Cayman Islands,North America,AIM,Yes,36.14
1306,15/03/2018,SAFE HARBOUR HOLDINGS PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,36.11
1307,18/02/2016,WORK SERVICE S.A.,,Industrials,Industrial Goods and Services,Poland,Europe,MAIN MARKET,Yes,36.07
1308,04/11/1994,CQS NATURAL RESOURCES GROWTH AND INCOME PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,36.05
1309,29/09/1995,BILLINGTON HOLDINGS PLC,,Industrials,Construction and Materials,United Kingdom,Europe,AIM,No,35.88
1310,31/10/2005,WAMEJA LIMITED,,Industrials,Industrial Goods and Services,Australia,Pacific,AIM,Yes,35.72
1311,25/03/1973,HIGHCROFT INVESTMENTS PLC,,Real Estate,Real Estate,United Kingdom,Europe,MAIN MARKET,No,35.65
1312,03/06/2015,GEAR4MUSIC (HOLDINGS) PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM,No,35.61
1313,01/04/2010,CAMBRIA AUTOMOBILES PLC,,Consumer Discretionary,Retail,United Kingdom,Europe,AIM,No,35.5
1314,17/12/2004,CENTAUR MEDIA PLC,,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET,No,35.39
1315,22/12/2000,FIRST PROPERTY GROUP PLC,,Financials,Financial Services,United Kingdom,Europe,AIM,No,35.32
1316,28/03/2019,FERRO-ALLOY RESOURCES LIMITED,,Basic Materials,Basic Resources,Guernsey,Europe,MAIN MARKET,No,35.21
1317,14/12/2012,OPEN ORPHAN PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,35.14
1318,16/04/2014,EAGLE EYE SOLUTIONS GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,35.13
1319,24/08/2016,LOOPUP GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,35.08
1320,27/05/2016,DIRECTA PLUS PLC,,Basic Materials,Chemicals,United Kingdom,Europe,AIM,No,35.07
1321,28/02/2014,MCCOLL'S RETAIL GROUP PLC,,Consumer Staples,"Personal Care, Drug and Grocery Stores",United Kingdom,Europe,MAIN MARKET,No,34.56
1322,20/02/2014,SIMEC ATLANTIS ENERGY LIMITED,,Energy,Energy,Singapore,Asia,AIM,Yes,34.33
1323,14/01/1959,BANK OF IRELAND (GOVERNOR & COMPANY OF THE),,Financials,Banks,Ireland,Europe,MAIN MARKET,Yes,34.24
1324,18/05/1998,DRAPER ESPRIT VCT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,33.97
1325,15/03/2005,VENTUS VCT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,33.87
1326,21/05/2014,FLOWTECH FLUIDPOWER PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,33.76
1327,01/03/2017,UP GLOBAL SOURCING HOLDINGS PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET,No,33.73
1328,21/02/2012,BELVOIR GROUP PLC,,Real Estate,Real Estate,United Kingdom,Europe,AIM,No,33.7
1329,20/06/2017,PCGH ZDP PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,33.57
1330,12/12/2001,BLACKROCK INCOME AND GROWTH INVESTMENT TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,33.46
1331,14/04/2016,NON-STANDARD FINANCE PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,32.81
1332,26/06/1996,SOLID STATE PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,32.8
1333,30/11/2016,WARPAINT LONDON PLC,,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM,No,32.62
1334,28/03/2014,VENTURE LIFE GROUP PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,32.23
1335,31/12/2007,IGAS ENERGY PLC,,Energy,Energy,United Kingdom,Europe,AIM,No,32.08
1336,11/12/2015,WEY EDUCATION PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,32.06
